LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.2434336,30.0699281,11166,Tottenham Road,,CHAPPELL HILL,,,,,f13e250ab094a687
-96.2715554,30.0742033,0,Jones Wilke Road,,CHAPPELL HILL,,,,,bbccaf2f13a8ffdc
-96.2727252,30.0740368,10748,Jones Wilke Road,,CHAPPELL HILL,,,,,834a2b7d2e557b8c
-96.348706,30.0728015,11447,Kenney Highway,,BRENHAM,,,,,ed40ba6d0c875aea
-96.250679,30.0712724,11462,Tottenham Road,,,,,,,9f1a177982389c6c
-96.233709,30.0708639,10444,Tottenham Road,, ,,,,,e5d7abb3f4299c2d
-96.3468876,30.075773,0,Sempronius Road,,BRENHAM,,,,,b0509d091f85114e
-96.2476675,30.070597,11462,Tottenham Road,,CHAPPELL HILL,,,,,c0e33944691547a3
-96.3367763,30.07341,0,Phillipsburg Church Road,,,,,,,cbf4aa690a878ed2
-96.2741228,30.0737469,0,Jones Wilke Road,,CHAPPELL HILL,,,,,d0dc26a723cd4905
-96.2749218,30.0736518,0,Jones Wilke Road,,CHAPPELL HILL,,,,,f7c34f5ee2a3700f
-96.2611355,30.071908,0,Jones Wilke Road,,CHAPPELL HILL,,,,,438f19bc7a02a34a
-96.2388503,30.0713933,0,Tottenham Road (Off Of),,CHAPPELL HILL,,,,,02fb67c5942843ef
-96.3248532,30.0732571,1334,Phillipsburg Church Road,,CHAPPELL HILL,,,,,a88b734d76d41677
-96.4162238,30.0751535,12870,Emshoff Road,,,,,,,803d4a61685989e3
-96.3933101,30.0758132,0,Emshoff Road (Off Of),,,,,,,c6940c75a5be3e1b
-96.376881,30.0718613,11170,New Wehdem Road,,BRENHAM,,,,,6c027c7362754d1f
-96.4113522,30.0731747,0,Emshoff Road,,,,,,,92482f1dceda1a05
-96.3457877,30.0739808,12222,Kenney Highway,,BRENHAM,,,,,177165e3ae8e6e08
-96.2648179,30.073082,0,Jones-Wilke Road,,CHAPPELL HILL,,,,,5c434320fd1dfea4
-96.35409,30.0748159,505,Dabney Road,,BRENHAM,,,,,ca1b2c6435c2b6f8
-96.4271417,30.073405,0,Emshoff Road,,,,,,,99de73fe9e40b51f
-96.3577004,30.0740768,646,Dabney Road,,BRENHAM,,,,,ee4f149f3207e14d
-96.353816,30.0726721,9784,Tegeler Road,,BRENHAM,,,,,2c4f36707824ff74
